Time:	Direct:	Amplified:
3390	24.542633	24.590912
3495	24.542633	24.590912
3595	24.542633	24.590912
3711	24.542633	24.590912
3811	24.542633	24.590912
3912	24.542633	24.590912
4028	24.542633	24.590912
4128	24.542633	24.590912
4228	24.542633	24.555817
4328	24.542633	24.555817
4428	24.542633	24.555817
4528	24.542633	24.555817
4628	24.542633	24.555817
4729	24.542633	24.555817
4845	24.542633	24.555817
4945	24.542633	24.547028
5062	24.542633	24.547028
5178	24.542633	24.547028
5278	24.542633	24.547028
5378	24.542633	24.547028
5478	24.542633	24.547028
5594	24.542633	24.547028
5695	24.542633	24.547028
5795	24.542633	24.555817
5911	24.542633	24.582123
6011	24.542633	24.60846
6112	24.542633	24.617218
6228	24.630402	24.634796
6328	24.630402	24.661133
6428	24.630402	24.68747
6529	24.7182	24.713806
6644	24.7182	24.748962
6745	24.7182	24.792877
6845	24.80606	24.819244
6945	24.80606	24.845612
7061	24.80606	24.880768
7162	24.893982	24.907135
7262	24.893982	24.933533
7362	24.893982	24.95111
7462	24.981903	24.96872
7578	24.981903	24.995117
7683	24.981903	25.003906
7795	24.981903	25.030334
7895	24.981903	25.039124
7995	25.069946	25.056732
8095	25.069946	25.065521
8212	25.069946	25.08316
8312	25.069946	25.09195
8429	25.069946	25.109558
8544	25.069946	25.118347
8644	25.069946	25.127167
8745	25.069946	25.135986
8846	25.15802	25.144775
8961	25.15802	25.153595
9062	25.15802	25.162384
9162	25.15802	25.162384
9278	25.15802	25.180023
9378	25.15802	25.180023
9479	25.15802	25.197662
9596	25.15802	25.206451
9711	25.15802	25.206451
9812	25.15802	25.215271
9912	25.246124	25.22409
10028	25.246124	25.23291
10128	25.246124	25.2417
10229	25.246124	25.250519
10329	25.246124	25.250519
10445	25.246124	25.259338
10545	25.246124	25.268158
10646	25.246124	25.276978
10761	25.246124	25.276978
10862	25.246124	25.285797
10962	25.246124	25.294617
11062	25.246124	25.294617
11162	25.246124	25.303436
11279	25.246124	25.303436
11396	25.33429	25.312225
11512	25.246124	25.312225
11612	25.33429	25.321075
11712	25.33429	25.321075
11812	25.33429	25.329895
11912	25.33429	25.329895
12012	25.33429	25.329895
12113	25.33429	25.338715
12229	25.33429	25.338715
12345	25.33429	25.338715
12446	25.33429	25.338715
12562	25.33429	25.347534
12679	25.33429	25.356323
12796	25.33429	25.356323
12896	25.33429	25.365173
13011	25.33429	25.365173
13112	25.33429	25.365173
13212	25.33429	25.365173
13312	25.33429	25.373993
13428	25.33429	25.373993
13529	25.33429	25.373993
13629	25.33429	25.382812
13729	25.33429	25.382812
13829	25.33429	25.382812
13929	25.33429	25.382812
14029	25.33429	25.391632
14129	25.33429	25.382812
14246	25.33429	25.391632
14346	25.33429	25.391632
14462	25.33429	25.391632
14578	25.422516	25.400482
14679	25.33429	25.391632
14780	25.33429	25.400482
14895	25.422516	25.400482
14995	25.422516	25.400482
15095	25.33429	25.400482
15196	25.33429	25.409302
15296	25.422516	25.409302
15396	25.422516	25.409302
15496	25.422516	25.409302
15611	25.422516	25.409302
15712	25.422516	25.418121
15813	25.422516	25.418121
15930	25.422516	25.418121
16046	25.422516	25.418121
16146	25.422516	25.418121
16246	25.422516	25.418121
16361	25.422516	25.418121
16462	25.422516	25.42694
16562	25.422516	25.42694
16663	25.422516	25.409302
16779	25.422516	25.418121
16879	25.422516	25.418121
16980	25.422516	25.418121
17080	25.422516	25.418121
17196	25.422516	25.42694
17296	25.422516	25.42694
17396	25.422516	25.418121
17496	25.422516	25.42694
17596	25.422516	25.42694
17712	25.422516	25.418121
17813	25.33429	25.400482
17929	25.33429	25.382812
18029	25.33429	25.365173
18130	25.33429	25.356323
18245	25.33429	25.338715
18346	25.33429	25.329895
18446	25.33429	25.321075
18546	25.246124	25.303436
18646	25.246124	25.294617
18763	25.246124	25.285797
18863	25.246124	25.276978
18979	25.246124	25.268158
19079	25.246124	25.259338
19179	25.246124	25.250519
19280	25.15802	25.2417
19395	25.246124	25.23291
19496	25.15802	25.22409
19596	25.15802	25.215271
19697	25.15802	25.206451
19813	25.15802	25.197662
19913	25.15802	25.188843
20030	25.15802	25.180023
20146	25.15802	25.171204
20246	25.15802	25.162384
20346	25.15802	25.153595
20446	25.15802	25.144775
20546	25.15802	25.135986
20646	25.15802	25.135986
20746	25.069946	25.127167
