Time:	Direct:	Amplified:
3387	24.454956	24.485626
13397	24.454956	24.476868
23397	24.454956	24.485626
33399	24.454956	24.476868
43408	24.454956	24.476868
53408	24.454956	24.468079
63411	24.454956	24.468079
73413	24.454956	24.468079
83415	24.454956	24.476868
93432	24.454956	24.468079
103435	24.454956	24.45932
113442	24.454956	24.45932
123450	24.454956	24.468079
133451	24.454956	24.476868
143451	24.454956	24.468079
153458	24.454956	24.468079
163473	24.454956	24.476868
173473	24.454956	24.485626
183474	24.454956	24.476868
193486	24.454956	24.476868
203488	24.454956	24.476868
213489	24.454956	24.468079
223489	24.454956	24.476868
233490	24.454956	24.476868
243498	24.454956	24.476868
253499	24.454956	24.476868
263505	24.454956	24.468079
273506	24.454956	24.45932
283513	24.454956	24.45932
293513	24.36728	24.441803
303514	24.36728	24.441803
313516	24.454956	24.45932
323537	24.893982	24.933533
333541	24.981903	25.003906
343546	24.981903	24.995117
353547	24.981903	24.995117
363549	24.630402	24.713806
373549	24.542633	24.573334
383554	24.454956	24.520721
393564	24.454956	24.494415
403571	24.454956	24.485626
413574	24.454956	24.485626
423575	24.454956	24.485626
433580	24.454956	24.485626
443586	24.454956	24.476868
453588	24.454956	24.468079
463599	24.454956	24.476868
473602	24.454956	24.468079
483612	24.454956	24.485626
493626	24.454956	24.485626
503627	24.454956	24.476868
513637	24.454956	24.476868
523653	24.454956	24.476868
533661	24.454956	24.468079
543668	24.454956	24.476868
553668	24.454956	24.468079
563668	24.454956	24.468079
573672	24.454956	24.476868
583673	24.454956	24.476868
593677	24.454956	24.476868
603691	24.454956	24.476868
613698	24.454956	24.476868
623707	24.454956	24.476868
633711	24.454956	24.476868
643712	24.454956	24.476868
653726	24.454956	24.476868
663727	24.454956	24.476868
673727	24.454956	24.476868
683740	24.454956	24.468079
693752	24.454956	24.468079
703755	24.454956	24.476868
713772	24.454956	24.45932
723776	24.36728	24.450562
733788	24.454956	24.450562
743788	24.454956	24.45932
753812	24.454956	24.468079
763812	24.454956	24.45932
773820	24.36728	24.45932
783833	24.36728	24.450562
793839	24.454956	24.45932
803847	24.454956	24.468079
813848	24.454956	24.45932
823861	24.454956	24.468079
833861	24.454956	24.45932
843868	24.454956	24.468079
853879	24.454956	24.468079
863880	24.454956	24.468079
873888	24.454956	24.476868
883896	24.454956	24.476868
893897	24.454956	24.476868
903897	24.454956	24.476868
913910	24.454956	24.485626
923914	24.454956	24.476868
933918	24.454956	24.468079
943933	24.454956	24.468079
953943	24.454956	24.476868
963950	24.454956	24.476868
973950	24.454956	24.476868
983957	24.454956	24.476868
993958	24.454956	24.468079
1003958	24.454956	24.468079
1013971	24.454956	24.468079
1023979	24.454956	24.468079
1033980	24.454956	24.45932
1043983	24.454956	24.476868
1053993	24.454956	24.476868
1064008	24.454956	24.468079
1074016	24.454956	24.468079
1084032	24.454956	24.45932
1094036	24.454956	24.476868
1104041	24.454956	24.476868
1114041	24.454956	24.468079
1124041	24.454956	24.468079
1134042	24.454956	24.476868
1144059	24.36728	24.468079
1154069	24.454956	24.45932
1164072	24.454956	24.45932
1174075	24.454956	24.45932
1184082	24.454956	24.468079
1194093	24.454956	24.450562
1204093	24.36728	24.441803
1214109	24.454956	24.441803
1224109	24.36728	24.450562
1234109	24.36728	24.441803
1244110	24.36728	24.433044
1254111	24.36728	24.441803
1264114	24.454956	24.450562
1274128	24.454956	24.45932
1284137	24.36728	24.45932
1294138	24.36728	24.450562
1304139	24.454956	24.45932
1314151	24.36728	24.450562
1324153	24.454956	24.45932
1334163	24.36728	24.450562
1344173	24.454956	24.450562
1354183	24.454956	24.450562
1364190	24.454956	24.45932
1374197	24.36728	24.450562
1384211	24.454956	24.450562
1394226	24.454956	24.450562
1404232	24.454956	24.450562
1414251	24.454956	24.45932
1424263	24.454956	24.468079
1434263	24.36728	24.450562
1444264	24.36728	24.441803
1454280	24.454956	24.45932
1464296	24.454956	24.45932
1474297	24.454956	24.468079
1484313	24.454956	24.468079
1494314	24.454956	24.468079
1504330	24.454956	24.468079
1514330	24.454956	24.468079
1524347	24.454956	24.468079
1534347	24.454956	24.468079
1544347	24.454956	24.45932
1554347	24.454956	24.45932
1564347	24.454956	24.468079
1574369	24.454956	24.45932
1584371	24.36728	24.441803
1594385	24.454956	24.45932
1604388	24.454956	24.45932
1614404	24.454956	24.441803
1624414	24.454956	24.450562
1634430	24.454956	24.450562
1644439	24.454956	24.45932
1654443	24.454956	24.468079
1664457	24.454956	24.450562
1674469	24.454956	24.45932
1684483	24.454956	24.468079
1694497	24.454956	24.45932
1704505	24.36728	24.433044
1714505	24.36728	24.441803
1724522	24.454956	24.45932
1734523	24.454956	24.450562
1744533	24.454956	24.468079
1754535	24.454956	24.468079
1764560	24.454956	24.468079
1774576	24.36728	24.468079
1784590	24.454956	24.468079
1794598	24.454956	24.468079
1804602	24.454956	24.45932
1814610	24.36728	24.45932
1824625	24.36728	24.450562
1834629	24.454956	24.468079
1844630	24.454956	24.45932
1854645	24.36728	24.450562
